City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Akdepe,TM,42.0551,59.3788,80.69,38,15,12.12,few clouds
143,Matamoros,MX,25.5333,-103.25,91.56,21,84,16.84,broken clouds
144,Nouadhibou,MR,20.931,-17.0347,71.58,88,17,16.11,few clouds
145,Thinadhoo,MV,0.5333,72.9333,77.29,89,100,15.26,overcast clouds
146,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,68,61,9.95,broken clouds
147,Chokurdakh,RU,70.6333,147.9167,59.36,61,11,1.25,few clouds
148,Saldanha,ZA,-33.0117,17.9442,44.65,80,15,9.37,few clouds
149,Acapulco,MX,16.8634,-99.8901,84.18,71,99,5.17,overcast clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,68,0,12.66,clear sky
151,Kaoma,ZM,-14.7833,24.8,54.16,39,0,3.69,clear sky
152,Lopsmarka,NO,67.3134,14.4493,60.62,79,0,5.75,clear sky
153,Faanui,PF,-16.4833,-151.75,79.09,69,1,23.47,clear sky
154,Loandjili,CG,-4.7561,11.8578,71.71,88,100,5.75,overcast clouds
155,Upernavik,GL,72.7868,-56.1549,44.74,83,100,5.75,overcast clouds
156,Garden City,US,42.3256,-83.331,85.87,43,40,5.75,scattered clouds
157,Dalvik,IS,65.9702,-18.5286,48.13,96,100,6.17,overcast clouds
158,Afyonkarahisar,TR,38.75,30.6667,69.28,43,0,4.0,clear sky
159,Jacmel,HT,18.2342,-72.5347,91.24,58,8,4.07,clear sky
160,Naze,JP,28.3667,129.4833,81.52,90,100,26.08,overcast clouds
161,Pangoa,PE,-12.1167,-73.0,76.93,69,66,1.5,broken clouds
162,Puntarenas,CR,9.9763,-84.8384,81.72,81,98,4.29,overcast clouds
163,Saskylakh,RU,71.9167,114.0833,57.49,96,100,10.16,light rain
164,Fare,PF,-16.7,-151.0167,78.67,71,1,22.39,light rain
165,Vardo,NO,70.3705,31.1107,49.98,100,100,14.97,overcast clouds
166,Marsh Harbour,BS,26.5412,-77.0636,83.66,71,67,14.63,broken clouds
167,Mehamn,NO,71.0357,27.8492,49.95,93,100,9.22,overcast clouds
168,Tonk,IN,26.1667,75.7833,83.21,64,100,12.06,overcast clouds
169,Kuybyshevo,RU,47.8123,38.9073,72.41,41,43,14.09,scattered clouds
