City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Makokou,GA,70.3,clear sky,0.5738,12.8642,Hôtel
224,Puerto Baquerizo Moreno,EC,76.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
229,Ahipara,NZ,54.0,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
232,Geraldton,AU,50.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
233,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
234,Lasa,IT,63.48,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
236,Touros,BR,74.79,light rain,-5.1989,-35.4608,INN NEW HORIZON
239,Luwuk,ID,75.27,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
243,Iracoubo,GF,78.94,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
245,Heilbron,ZA,52.43,overcast clouds,-27.2812,27.9709,Guest house
246,Kundiawa,PG,64.09,overcast clouds,-6.0167,144.9667,Pari
247,College,US,76.59,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
248,Bage,BR,56.98,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
249,Sale,MA,75.88,clear sky,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
250,Fairbanks,US,76.6,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
252,Hovd,MN,65.55,broken clouds,48.0056,91.6419,Hotel Khovd
255,Ugoofaaru,MV,78.58,light rain,5.6667,73.0,Ungoofaaru Inn
257,Duliagaon,IN,75.27,overcast clouds,27.3667,95.3167,Kanchanjongha Complex
261,Cap Malheureux,MU,70.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
262,Pizarro,CO,79.86,light rain,4.9533,-77.366,Hotel Limonar
263,Den Helder,NL,69.03,overcast clouds,52.9599,4.7593,Hotel Den Helder
264,Lerwick,GB,53.6,scattered clouds,60.1545,-1.1494,The Lerwick Hotel
265,Mangan,IN,75.69,overcast clouds,27.5167,88.5333,Hotel Mout View
268,Totma,RU,52.65,clear sky,59.9747,42.7642,Varnitsy
269,Byron Bay,AU,51.94,overcast clouds,-28.65,153.6167,Backpackers Inn
270,Rio Grande,BR,55.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
271,Palu,ID,75.6,moderate rain,-0.8917,119.8707,Hotel Santika Palu
273,Vangaindrano,MG,64.08,few clouds,-23.35,47.6,Hotel Fanilo
275,Quatre Cocos,MU,70.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
276,Suntar,RU,64.45,scattered clouds,62.1444,117.6319,Гостевая квартира
281,Labuhan,ID,74.21,broken clouds,-6.8844,112.2051,DoubleFAG
282,Hwange,ZW,58.86,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
283,Port Hedland,AU,62.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
287,Inhambane,MZ,66.07,clear sky,-23.865,35.3833,Oceano
288,Arona,ES,77.9,clear sky,28.0996,-16.681,Paradise Court
289,Sovetskaya Gavan,RU,61.34,overcast clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
290,Papar,MY,77.0,overcast clouds,5.7333,115.9333,Koposizon Homestay
292,Codrington,AU,52.41,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
295,Otofuke,JP,74.88,scattered clouds,42.9917,143.2003,スポーツホテル・クロス・コート
298,Sorong,ID,77.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
299,Chkalovsk,RU,59.79,clear sky,56.7647,43.2433,Pokrovskiy Domik
303,Kapan,AM,70.36,broken clouds,39.2075,46.4058,Grand House
304,Irbeyskoye,RU,60.58,overcast clouds,55.6428,95.4522,"Gostinitsa ""Agul"""
307,Chantada,ES,64.54,clear sky,42.6088,-7.7712,Mogay
308,Berlevag,NO,50.0,overcast clouds,70.8578,29.0864,Kvitbrakka
309,Isangel,VU,73.51,overcast clouds,-19.55,169.2667,Tanna Lodge
313,Sungaipenuh,ID,63.59,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
316,Varhaug,NO,60.78,overcast clouds,58.6147,5.6457,Jonas Bue
318,Leh,IN,62.71,scattered clouds,34.1667,77.5833,Hotel Ladakh Greens
320,San Quintin,MX,74.3,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
324,Alipur Chatha,PK,79.59,overcast clouds,32.2688,73.819,Saeed General Store
325,Bonthe,SL,75.85,broken clouds,7.5264,-12.505,Bonthe Holiday Village
326,Sinnamary,GF,79.23,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
327,Petukhovo,RU,59.16,broken clouds,55.0692,67.9019,Гостиница
328,Mitsamiouli,KM,75.42,clear sky,-11.3847,43.2844,Foyer ADM
329,Ketchikan,US,67.8,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
330,Torbay,CA,70.57,overcast clouds,47.6666,-52.7314,Gallows Cove
332,Opotiki,NZ,52.39,broken clouds,-38.0833,177.2833,Agassiz House Opotiki Backpackers
334,Mbuji-Mayi,CD,76.37,scattered clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
335,Limbang,MY,78.06,overcast clouds,4.75,115.0,Purnama Hotel
338,Flinders,AU,53.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
340,Kargasok,RU,62.35,overcast clouds,59.0556,80.8572,Hotel Kargasok
341,Veracruz,MX,79.75,broken clouds,19.3333,-96.6667,El Carrizal
342,Ayagoz,KZ,62.47,scattered clouds,47.9714,80.4392,ХАН
343,Bardiyah,LY,78.15,clear sky,31.7561,25.0865,بورتو بردية
344,Chuy,UY,50.25,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
346,Boueni,YT,73.38,clear sky,-12.9025,45.0761,The feet in water
349,Hanko,FI,55.15,clear sky,59.8333,22.95,Villa Maija
350,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
351,Myanaung,MM,79.81,overcast clouds,18.2833,95.3167,Taung Hlay Khar
352,Kutum,SD,76.48,moderate rain,14.2,24.6667,Dibbo areaمنطقة دبو
353,Moundou,TD,71.13,light rain,8.5667,16.0833,Planete Life
355,Bergama,TR,71.67,clear sky,39.1207,27.1805,Anil Hotel
356,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
357,Bilibino,RU,56.41,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
358,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
360,Ginir,ET,59.54,scattered clouds,7.1333,40.7,Sura Dare Village
361,Lumphat,KH,74.89,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
363,Port Lincoln,AU,53.01,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
367,Norman Wells,CA,66.24,broken clouds,65.282,-126.8329,Heritage Hotel
372,Maningrida,AU,65.32,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
373,Hay River,CA,66.18,few clouds,60.8156,-115.7999,Ptarmigan Inn
374,Leczyca,PL,62.08,light rain,52.0596,19.1997,Bursa szkolna
376,Pitimbu,BR,73.99,moderate rain,-7.4706,-34.8086,Reserva do Abiaí
377,Sayyan,YE,64.53,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
378,Scarborough,GB,64.33,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
379,Fuerte Olimpo,PY,70.2,clear sky,-21.0415,-57.8738,Hospedaje DAMI
380,Neuquen,AR,55.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
386,Karratha,AU,68.97,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
387,Ambanja,MG,69.21,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
389,Malangwa,NP,79.66,overcast clouds,26.8568,85.5581,Prem Meat House
390,Hofn,IS,51.15,overcast clouds,64.2539,-15.2082,Hótel Höfn
392,Kholm-Zhirkovskiy,RU,52.0,clear sky,55.5189,33.4731,Gostinitsa Kholm
393,Necochea,AR,50.85,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
394,Show Low,US,73.69,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
396,Vao,NC,67.91,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
398,Port Hardy,CA,71.78,fog,50.6996,-127.4199,Airport Inn-Port Hardy
399,Guarapari,BR,68.9,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
400,Chernyakhovsk,RU,57.6,overcast clouds,54.6335,21.8156,"Hotel ""Georgenburg"""
402,Pryazha,RU,52.83,overcast clouds,61.6926,33.6216,Guest house VIRTA
406,Faya,SA,69.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
407,Benguela,AO,66.58,few clouds,-12.5763,13.4055,Hotel Praia Morena
410,Sandakan,MY,76.68,few clouds,5.8402,118.1179,Hotel Sandakan
414,Arica,CL,60.4,few clouds,-18.475,-70.3042,Hostal Jardin Del Sol
415,Shiyan,CN,71.65,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
421,Shiraz,IR,74.68,overcast clouds,29.6036,52.5388,Shams Hotel
422,Korla,CN,74.59,clear sky,41.7597,86.1469,Gulisitan Hotel
423,Stavanger,NO,61.14,light intensity drizzle,58.9701,5.7333,Stavanger Forum Hotel
425,Honningsvag,NO,51.55,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
427,Santa Cruz,BO,75.04,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
431,Conde,BR,72.23,moderate rain,-7.2597,-34.9075,Pousada Beija Flor
432,Antofagasta,CL,57.4,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
433,Mchinji,MW,57.29,clear sky,-13.7984,32.8802,Kayesa Inn
434,Santa Isabel Do Rio Negro,BR,75.47,moderate rain,-0.4139,-65.0192,Hotel GSA
435,Uige,AO,63.77,clear sky,-7.6087,15.0613,Hotel Catraio
436,Busayra,JO,70.77,broken clouds,30.7376,35.6078,Matan Eco Villege
437,Roald,NO,61.9,light rain,62.5833,6.1333,Flem Cabins
439,Ipixuna,BR,74.59,moderate rain,-1.7625,-48.8043,Chalé do Mato
441,Sawtell,AU,51.19,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
443,Techiman,GH,70.75,overcast clouds,7.5862,-1.9414,KONTINENTAL LODGE
445,Artigas,UY,51.85,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
446,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
447,Lichuan,CN,63.39,clear sky,30.3,108.85,Yuanlai Homestay
448,Kurilsk,RU,64.47,overcast clouds,45.2333,147.8833,Hotel Ostrov
450,Barguzin,RU,59.92,overcast clouds,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
451,Revda,RU,63.77,overcast clouds,56.801,59.9303,Gostinitsa Metallurg
453,Narsaq,GL,57.42,clear sky,60.9167,-46.05,Sleep In Narsaq
454,Nemuro,JP,67.57,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
456,Krivyanskaya,RU,79.93,few clouds,47.3963,40.1662,Inn DejaVu
457,Gebre Guracha,ET,52.79,light rain,9.8,38.4,Brehan Cafe
459,Lashio,MM,67.55,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
460,Aras,ES,68.41,clear sky,42.5617,-2.356,Jardines de Viana Spa
461,Joshimath,IN,69.84,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
462,Axim,GH,74.68,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
464,Otane,NZ,55.0,scattered clouds,-39.8833,176.6333,Ludlow Farmstay
465,Gawler,AU,54.21,moderate rain,-34.6,138.7333,Eagle Foundry Bed & Breakfast
466,Coulommiers,FR,74.86,broken clouds,48.8145,3.085,Hôtel Première Classe Coulommiers
471,Lata,PT,69.75,clear sky,40.1629,-8.3327,Casa Maquia
472,Namibe,AO,61.74,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
473,Uray,RU,61.14,light rain,60.1247,64.7758,Hotel Pioner
474,Istiaia,GR,79.54,clear sky,38.9558,23.1528,John's Houses
476,Sal Rei,CV,77.54,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
478,Chapais,CA,66.15,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
479,Itarema,BR,78.8,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
480,San-Pedro,CI,74.8,broken clouds,4.7485,-6.6363,Hotel Maria
484,Hinton,CA,76.78,broken clouds,53.4001,-117.5857,Econo Lodge & Suites
485,Omboue,GA,71.8,broken clouds,-1.5746,9.2618,Hotel Olako
487,Sibolga,ID,76.3,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
490,Bagdarin,RU,53.74,broken clouds,54.4333,113.6,Gostevoy Dom Terem
491,Smiltene,LV,51.55,clear sky,57.4244,25.9016,Kalna Ligzda
492,Samfya,ZM,60.98,clear sky,-11.3649,29.5565,Chita Lodge Samfya
493,Sorland,NO,57.06,clear sky,67.667,12.6934,Sjybrygga fiskecamp
494,Thunder Bay,CA,77.18,clear sky,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
495,Zherdevka,RU,63.7,overcast clouds,51.8486,41.4606,Юнона
496,Nelson Bay,AU,52.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
497,Anchorage,US,62.08,overcast clouds,61.2181,-149.9003,Hotel Captain Cook
498,Goderich,CA,73.9,clear sky,43.7501,-81.7165,Harmony Inn
500,Warrnambool,AU,52.29,overcast clouds,-38.3833,142.4833,Lady Bay Resort
502,Conceicao Das Alagoas,BR,72.28,clear sky,-19.9147,-48.3883,Bouganville Hotel
503,Kozhva,RU,57.67,broken clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
505,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
507,Praya,CV,78.71,overcast clouds,14.9215,-23.5087,LT Aparthotel
510,Seguela,CI,73.15,broken clouds,7.9611,-6.6731,Hotel le Carrefour
511,Muli,MV,77.5,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
512,Ak-Dovurak,RU,60.03,overcast clouds,51.1833,90.6,Khostel Avtomoyka Stoyaka
513,Phek,IN,61.07,overcast clouds,25.6667,94.5,Prayer Centre
514,Odda,NO,59.2,overcast clouds,60.0691,6.5457,Trolltunga Camping
515,Taunggyi,MM,63.54,overcast clouds,20.7833,97.0333,True Treasure Hotel
517,Padang,ID,75.92,overcast clouds,-0.9492,100.3543,Mercure Padang
521,Taungdwingyi,MM,78.3,overcast clouds,20.0167,95.55,NayNaing MobileService
522,Rosetta,EG,78.49,clear sky,31.4044,30.4164,Green Valley
523,Jumla,NP,62.01,overcast clouds,29.2747,82.1838,Royal Garden Hotel
524,Kita,ML,73.74,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
528,Katsina,NG,73.81,overcast clouds,12.9894,7.6006,Katsina Motel
